Vaga,Empresa,Local,DataAnuncio,DataColeta,SumarioVaga,Salario
Desenvolvedor Salesforce,Atile.digital,"Florianópolis, SC","Nosso propósito é criar tecnologia para melhorar a vida das pessoas.*.
A atile.digital é uma das mais tradicionais consultorias de CRM no Brasil.",há 12 dias,16-11-2021,R$ 2.153 - R$ 5.800 por mês
Analista de Infraestrutura de TI SR,Florira Airport,"Florianópolis, SC","Gerenciar ambiente de infraestrutura (VMware, Servidores Físicos e Virtuais, Windows, Linux, Datacenters, Redes, Wifi, Licenciamento de ativos);",há 30+ dias,16-11-2021,
Desenvolvedor de Software Pleno Python,ESSS,"Florianópolis, SC","O time de desenvolvimento de software do produto Rocky está em busca de um Desenvolvedor Python.
Você será responsável pelo desenvolvimento desta aplicação…",há 30+ dias,16-11-2021,
Desenvolvedor(a) Back End Junior-Pleno na PecSmart,Pecsmart,"Florianópolis, SC",Requisitos: - Experiência com Python (Django/DRF) e ambientes Linux; - Disponibilidade de trabalho no modelo híbrido (presencial e home office); - Ser flexível…,há 21 dias,16-11-2021,
Cod. #DEVOP01 - Desenvolvedor FullStack,StormTech,"Florianópolis, SC",Vale-transporte ou auxílio combustível ( Sem desconto );,há 30+ dias,16-11-2021,
Engenheiro de Software - Python,Inklua Servicos Para Inclusao de Pcd Ltda,"Florianópolis, SC","Desenvolver e manter aplicações Back-end usando Django, Elixir, NodeJS e modelagem de dados usando MySQL, Postgres, DynamoDB CARGO: Desenvolvedor Python…",há 21 dias,16-11-2021,
,BairesDev,"Florianópolis, SC","Architect and design a scalable data warehouse that can be connected to a business intelligence tool.
This could mean redesigning the way data is stored in our…",Hoje,16-11-2021,
Programador(a) Back-End – (Python),Neoprospecta,Cachoeira do,"Ter princípios como os de crescimento em equipe, foco em gerar resultado, autogerenciamento, e colocando o cliente sempre em primeiro lugar.",há 30+ dias,16-11-2021,
FullStack Developer (Remote),Involves,"Florianópolis, SC","Divertida. Empresa de tecnologia de Floripa profissa quando o assunto é solução de trade marketing.
Então, para subir no palco com a gente, é indispensável…",há 30+ dias,16-11-2021,
Analista de Aplicações,Way2 Technology,"Florianópolis, SC","Experiência com ferramentas que sejam utilizadas para as atividades citadas anteriormente;
Experiência com a utilização de ferramentas de banco de dados, de no…",há 30+ dias,16-11-2021,
Python Linux Specialist Software Engineer,Canonical - Jobs,"Florianópolis, SC","Canonical delivers open source software to millions of Linux, Windows and Mac machines through Ubuntu and the wider Canonical ecosystem.",há 30+ dias,16-11-2021,
